said	study_accession	sample_accession	study_title	paper_id	pmid	doi	relation	evidence	provenance	title_similarity	verified_on
SAID099	CRA004660	SAMC438600		PMID_35613617	35613617	10.1016/j.stem.2022.04.017	primary_dataset_publication	The Cell Stem Cell article reports the heterochronic-parabiosis atlas deposited as CRA004660; the accession title, design, submitter Jiaming Li, and study description match the publication.	study_publication_overrides.json		2026-07-18
SAID100	CRA004660	SAMC438601		PMID_35613617	35613617	10.1016/j.stem.2022.04.017	primary_dataset_publication	The Cell Stem Cell article reports the heterochronic-parabiosis atlas deposited as CRA004660; the accession title, design, submitter Jiaming Li, and study description match the publication.	study_publication_overrides.json		2026-07-18
SAID101	CRA004660	SAMC438602		PMID_35613617	35613617	10.1016/j.stem.2022.04.017	primary_dataset_publication	The Cell Stem Cell article reports the heterochronic-parabiosis atlas deposited as CRA004660; the accession title, design, submitter Jiaming Li, and study description match the publication.	study_publication_overrides.json		2026-07-18
SAID102	CRA004660	SAMC438603		PMID_35613617	35613617	10.1016/j.stem.2022.04.017	primary_dataset_publication	The Cell Stem Cell article reports the heterochronic-parabiosis atlas deposited as CRA004660; the accession title, design, submitter Jiaming Li, and study description match the publication.	study_publication_overrides.json		2026-07-18
SAID103	CRA006512	SAMC703634		PMID_37285263	37285263	10.1093/procel/pwac062	primary_dataset_publication	The article data-availability statement names CRA006512.	study_publication_overrides.json		2026-07-18
SAID104	CRA006512	SAMC703635		PMID_37285263	37285263	10.1093/procel/pwac062	primary_dataset_publication	The article data-availability statement names CRA006512.	study_publication_overrides.json		2026-07-18
SAID105	CRA006512	SAMC703636		PMID_37285263	37285263	10.1093/procel/pwac062	primary_dataset_publication	The article data-availability statement names CRA006512.	study_publication_overrides.json		2026-07-18
SAID106	CRA006512	SAMC703637		PMID_37285263	37285263	10.1093/procel/pwac062	primary_dataset_publication	The article data-availability statement names CRA006512.	study_publication_overrides.json		2026-07-18
SAID107	CRA006512	SAMC703638		PMID_37285263	37285263	10.1093/procel/pwac062	primary_dataset_publication	The article data-availability statement names CRA006512.	study_publication_overrides.json		2026-07-18
SAID108	CRA006512	SAMC703639		PMID_37285263	37285263	10.1093/procel/pwac062	primary_dataset_publication	The article data-availability statement names CRA006512.	study_publication_overrides.json		2026-07-18
SAID109	CRA006512	SAMC703640		PMID_37285263	37285263	10.1093/procel/pwac062	primary_dataset_publication	The article data-availability statement names CRA006512.	study_publication_overrides.json		2026-07-18
SAID103	CRA006512	SAMC703634		PMID_40391738	40391738	10.1093/procel/pwaf035	correction	Published correction to PMID 37285263.	study_publication_overrides.json		2026-07-18
SAID104	CRA006512	SAMC703635		PMID_40391738	40391738	10.1093/procel/pwaf035	correction	Published correction to PMID 37285263.	study_publication_overrides.json		2026-07-18
SAID105	CRA006512	SAMC703636		PMID_40391738	40391738	10.1093/procel/pwaf035	correction	Published correction to PMID 37285263.	study_publication_overrides.json		2026-07-18
SAID106	CRA006512	SAMC703637		PMID_40391738	40391738	10.1093/procel/pwaf035	correction	Published correction to PMID 37285263.	study_publication_overrides.json		2026-07-18
SAID107	CRA006512	SAMC703638		PMID_40391738	40391738	10.1093/procel/pwaf035	correction	Published correction to PMID 37285263.	study_publication_overrides.json		2026-07-18
SAID108	CRA006512	SAMC703639		PMID_40391738	40391738	10.1093/procel/pwaf035	correction	Published correction to PMID 37285263.	study_publication_overrides.json		2026-07-18
SAID109	CRA006512	SAMC703640		PMID_40391738	40391738	10.1093/procel/pwaf035	correction	Published correction to PMID 37285263.	study_publication_overrides.json		2026-07-18
SAID110	CRA028265	SAMC5706929		PMID_40817122	40817122	10.1038/s41467-025-62874-9	primary_dataset_publication	The article data-availability statement names CRA028265.	study_publication_overrides.json		2026-07-18
SAID111	CRA028265	SAMC5706930		PMID_40817122	40817122	10.1038/s41467-025-62874-9	primary_dataset_publication	The article data-availability statement names CRA028265.	study_publication_overrides.json		2026-07-18
SAID112	CRA028974	SAMC5773650		PMID_41329515	41329515	10.1172/JCI188827	primary_dataset_publication	The article data-availability statement names CRA028974.	study_publication_overrides.json		2026-07-18
SAID113	CRA028974	SAMC5773651		PMID_41329515	41329515	10.1172/JCI188827	primary_dataset_publication	The article data-availability statement names CRA028974.	study_publication_overrides.json		2026-07-18
SAID114	CRA028974	SAMC5773652		PMID_41329515	41329515	10.1172/JCI188827	primary_dataset_publication	The article data-availability statement names CRA028974.	study_publication_overrides.json		2026-07-18
SAID115	CRA028974	SAMC5773653		PMID_41329515	41329515	10.1172/JCI188827	primary_dataset_publication	The article data-availability statement names CRA028974.	study_publication_overrides.json		2026-07-18
SAID116	CRA028974	SAMC5773654		PMID_41329515	41329515	10.1172/JCI188827	primary_dataset_publication	The article data-availability statement names CRA028974.	study_publication_overrides.json		2026-07-18
SAID117	CRA028974	SAMC5773655		PMID_41329515	41329515	10.1172/JCI188827	primary_dataset_publication	The article data-availability statement names CRA028974.	study_publication_overrides.json		2026-07-18
SAID118	CRA028974	SAMC5773656		PMID_41329515	41329515	10.1172/JCI188827	primary_dataset_publication	The article data-availability statement names CRA028974.	study_publication_overrides.json		2026-07-18
SAID119	CRA028974	SAMC5773657		PMID_41329515	41329515	10.1172/JCI188827	primary_dataset_publication	The article data-availability statement names CRA028974.	study_publication_overrides.json		2026-07-18
