SAID,GSE,GSM,species,Cells,Condition,Age,Sex,Tissue location,Fine cell types,Gross cell types,Title,Summary,Overall Design,PubMed
SAID001,GSE269455,GSM8316001,Mouse,6427,Healthy,Not mentioned,Both,dorsal skin,B Cell|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Humanized CXCL12 Antibody Delays Onset and Modulates Immune Response in Alopecia Areata  Mice,"It has been demonstrated that CXCL12 inhibits hair growth via CXCR4, and its neutralizing antibody (Ab) increases hair growth in alopecia areata (AA). However, the molecular mechanisms have not been fully elucidated. In the present study, we further prepared humanized CXCL12 Ab for AA treatment and investigated underlying molecular mechanisms using single-cell RNA sequencing. Subcutaneous injection of humanized CXCL12 Ab significantly delayed AA onset in mice, and dorsal skin was analyzed. T cells and dendritic cells/macrophages were increased in the AA model, but decreased after CXCL12 Ab treatment. Pseudobulk RNA sequencing identified 153 differentially expressed genes that were upregulated in AA model and downregulated after Ab treatment. Gene ontology analysis revealed that immune cell chemotaxis and cellular response to type II interferon were upregulated in AA model but downregulated after Ab treatment. We further identified key immune cell-related genes such as Ifng, Cd8a, Ccr5, Ccl4, Ccl5, and Il21r, which were colocalized with Cxcr4 in T cells and regulated by CXCL12 Ab treatment. Notably, CD8+ T cells were significantly increased and activated via Jak/Stat pathway in the AA model but inactivated after CXCL12 Ab treatment. Collectively, these results indicate that humanized CXCL12 Ab is promising for AA treatment via immune modulatory effects.","Skin samples were collected from unaffected C3H/HeN mice (negative control, Neg), AA model mice, and AA model mice treated with CXCL12-neutralizing antibody (AA + Ab).",39483478; 39795953; 40004031
SAID002,GSE269455,GSM8316002,Mouse,10076,Alopecia Areata,Not mentioned,Both,dorsal skin,B Cell|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Humanized CXCL12 Antibody Delays Onset and Modulates Immune Response in Alopecia Areata  Mice,"It has been demonstrated that CXCL12 inhibits hair growth via CXCR4, and its neutralizing antibody (Ab) increases hair growth in alopecia areata (AA). However, the molecular mechanisms have not been fully elucidated. In the present study, we further prepared humanized CXCL12 Ab for AA treatment and investigated underlying molecular mechanisms using single-cell RNA sequencing. Subcutaneous injection of humanized CXCL12 Ab significantly delayed AA onset in mice, and dorsal skin was analyzed. T cells and dendritic cells/macrophages were increased in the AA model, but decreased after CXCL12 Ab treatment. Pseudobulk RNA sequencing identified 153 differentially expressed genes that were upregulated in AA model and downregulated after Ab treatment. Gene ontology analysis revealed that immune cell chemotaxis and cellular response to type II interferon were upregulated in AA model but downregulated after Ab treatment. We further identified key immune cell-related genes such as Ifng, Cd8a, Ccr5, Ccl4, Ccl5, and Il21r, which were colocalized with Cxcr4 in T cells and regulated by CXCL12 Ab treatment. Notably, CD8+ T cells were significantly increased and activated via Jak/Stat pathway in the AA model but inactivated after CXCL12 Ab treatment. Collectively, these results indicate that humanized CXCL12 Ab is promising for AA treatment via immune modulatory effects.","Skin samples were collected from unaffected C3H/HeN mice (negative control, Neg), AA model mice, and AA model mice treated with CXCL12-neutralizing antibody (AA + Ab).",39483478; 39795953; 40004031
SAID003,GSE269455,GSM8316003,Mouse,9737,Alopecia Areata with Antibody,Not mentioned,Both,dorsal skin,B Cell|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Humanized CXCL12 Antibody Delays Onset and Modulates Immune Response in Alopecia Areata  Mice,"It has been demonstrated that CXCL12 inhibits hair growth via CXCR4, and its neutralizing antibody (Ab) increases hair growth in alopecia areata (AA). However, the molecular mechanisms have not been fully elucidated. In the present study, we further prepared humanized CXCL12 Ab for AA treatment and investigated underlying molecular mechanisms using single-cell RNA sequencing. Subcutaneous injection of humanized CXCL12 Ab significantly delayed AA onset in mice, and dorsal skin was analyzed. T cells and dendritic cells/macrophages were increased in the AA model, but decreased after CXCL12 Ab treatment. Pseudobulk RNA sequencing identified 153 differentially expressed genes that were upregulated in AA model and downregulated after Ab treatment. Gene ontology analysis revealed that immune cell chemotaxis and cellular response to type II interferon were upregulated in AA model but downregulated after Ab treatment. We further identified key immune cell-related genes such as Ifng, Cd8a, Ccr5, Ccl4, Ccl5, and Il21r, which were colocalized with Cxcr4 in T cells and regulated by CXCL12 Ab treatment. Notably, CD8+ T cells were significantly increased and activated via Jak/Stat pathway in the AA model but inactivated after CXCL12 Ab treatment. Collectively, these results indicate that humanized CXCL12 Ab is promising for AA treatment via immune modulatory effects.","Skin samples were collected from unaffected C3H/HeN mice (negative control, Neg), AA model mice, and AA model mice treated with CXCL12-neutralizing antibody (AA + Ab).",39483478; 39795953; 40004031
SAID004,GSE261227,GSM8138118,Mouse,4225,Healthy,P63,female,Not mentioned,Adgre1+ Itgam+ Dermal Inf Macrophage|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Ctss+ Lyz2+ Macrophage|Dcn+ Lum+ Dermal Fibroblast|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt5+ Krt14+ Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|Schwann cells|Sebaceous Gland Cell|Skap1+ Itk+ T Cell|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Hair Follicle Progenitor|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Molecular heterogeneity of quiescent melanocyte stem cells revealed by single-cell RNA-sequencing.,"Melanocyte stem cells (McSCs) of the hair follicle are a rare cell population within the skin and are notably underrepresented in whole-skin, single-cell RNA sequencing (scRNA-seq) datasets. Using a cell enrichment strategy to isolate KIT+/CD45- cells from the telogen skin of adult female C57BL/6J mice, we evaluated the transcriptional landscape of quiescent McSCs (qMcSCs) at high resolution. Through this evaluation, we confirmed existing molecular signatures for qMcCS subpopulations (e.g., Kit+, Cd34+/-, Plp1+, Cd274+/-, Thy1+, Cdh3+/-) and identified novel qMcSC subpopulations, including two that differentially regulate their immune privilege status. Within qMcSC subpopulations, we also predicted melanocyte differentiation potential, neural crest potential, and quiescence depth. Taken together, the results demonstrate that the qMcSC population is heterogenous and future studies focused on investigating changes in qMcSCs should consider changes in subpopulation composition.","Follicular melanocyte stem cells reside in the cellular state of quiescence for the majority of their lifespan and are essential for the regeneration of hair pigmentation during hair cycling. Functional, anatomical and molecular evidence indicates that quiescent melanocyte stem cells are heterogenous and this heterogeneity is a characteristic that defines the stem and lineage potential of these cells. To further interrogate the transcriptional programs that drive this heterogeneity we isolated quiescent melanocyte stem cells from the dermis of female, 8-week-old, C57BL/6J mice (n=3) using KIT+/CD45- enrichment using flow cytometry. Isolated quiescent melanocyte stem cells were processed for single cell RNA-seq (10X genomics) to generate a high resolution map of these cells (5545 total cells analyzed after quality control and filtering). We also performed single cell RNA-seq on dissociated dermis without enrichment as a comparison.",
SAID005,GSE261227,GSM8138119,Mouse,2991,Healthy,P63,female,Not mentioned,Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Lum+ Dermal Fibroblast|Gamma-delta T Cell|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt5+ Krt14+ Basal Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Prrx1+ Ebf1+ Fibroblast Progenitor|Schwann cells|Sebaceous Gland Cell|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Schwann cells|Sebaceous Gland Cell|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Molecular heterogeneity of quiescent melanocyte stem cells revealed by single-cell RNA-sequencing.,"Melanocyte stem cells (McSCs) of the hair follicle are a rare cell population within the skin and are notably underrepresented in whole-skin, single-cell RNA sequencing (scRNA-seq) datasets. Using a cell enrichment strategy to isolate KIT+/CD45- cells from the telogen skin of adult female C57BL/6J mice, we evaluated the transcriptional landscape of quiescent McSCs (qMcSCs) at high resolution. Through this evaluation, we confirmed existing molecular signatures for qMcCS subpopulations (e.g., Kit+, Cd34+/-, Plp1+, Cd274+/-, Thy1+, Cdh3+/-) and identified novel qMcSC subpopulations, including two that differentially regulate their immune privilege status. Within qMcSC subpopulations, we also predicted melanocyte differentiation potential, neural crest potential, and quiescence depth. Taken together, the results demonstrate that the qMcSC population is heterogenous and future studies focused on investigating changes in qMcSCs should consider changes in subpopulation composition.","Follicular melanocyte stem cells reside in the cellular state of quiescence for the majority of their lifespan and are essential for the regeneration of hair pigmentation during hair cycling. Functional, anatomical and molecular evidence indicates that quiescent melanocyte stem cells are heterogenous and this heterogeneity is a characteristic that defines the stem and lineage potential of these cells. To further interrogate the transcriptional programs that drive this heterogeneity we isolated quiescent melanocyte stem cells from the dermis of female, 8-week-old, C57BL/6J mice (n=3) using KIT+/CD45- enrichment using flow cytometry. Isolated quiescent melanocyte stem cells were processed for single cell RNA-seq (10X genomics) to generate a high resolution map of these cells (5545 total cells analyzed after quality control and filtering). We also performed single cell RNA-seq on dissociated dermis without enrichment as a comparison.",
SAID006,GSE261227,GSM8138120,Mouse,3106,Healthy,P63,female,Not mentioned,Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Ctss+ Lyz2+ Macrophage|Dcn+ Lum+ Dermal Fibroblast|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt5+ Krt14+ Basal Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|Schwann cells|Sebaceous Gland Cell|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Molecular heterogeneity of quiescent melanocyte stem cells revealed by single-cell RNA-sequencing.,"Melanocyte stem cells (McSCs) of the hair follicle are a rare cell population within the skin and are notably underrepresented in whole-skin, single-cell RNA sequencing (scRNA-seq) datasets. Using a cell enrichment strategy to isolate KIT+/CD45- cells from the telogen skin of adult female C57BL/6J mice, we evaluated the transcriptional landscape of quiescent McSCs (qMcSCs) at high resolution. Through this evaluation, we confirmed existing molecular signatures for qMcCS subpopulations (e.g., Kit+, Cd34+/-, Plp1+, Cd274+/-, Thy1+, Cdh3+/-) and identified novel qMcSC subpopulations, including two that differentially regulate their immune privilege status. Within qMcSC subpopulations, we also predicted melanocyte differentiation potential, neural crest potential, and quiescence depth. Taken together, the results demonstrate that the qMcSC population is heterogenous and future studies focused on investigating changes in qMcSCs should consider changes in subpopulation composition.","Follicular melanocyte stem cells reside in the cellular state of quiescence for the majority of their lifespan and are essential for the regeneration of hair pigmentation during hair cycling. Functional, anatomical and molecular evidence indicates that quiescent melanocyte stem cells are heterogenous and this heterogeneity is a characteristic that defines the stem and lineage potential of these cells. To further interrogate the transcriptional programs that drive this heterogeneity we isolated quiescent melanocyte stem cells from the dermis of female, 8-week-old, C57BL/6J mice (n=3) using KIT+/CD45- enrichment using flow cytometry. Isolated quiescent melanocyte stem cells were processed for single cell RNA-seq (10X genomics) to generate a high resolution map of these cells (5545 total cells analyzed after quality control and filtering). We also performed single cell RNA-seq on dissociated dermis without enrichment as a comparison.",
SAID007,GSE261227,GSM8138121,Mouse,6342,Healthy,P63,female,Not mentioned,Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Ctss+ Lyz2+ Macrophage|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Erythrocyte|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|Schwann cells|Sebaceous Gland Cell|Skap1+ Itk+ T Cell|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Erythrocyte|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Molecular heterogeneity of quiescent melanocyte stem cells revealed by single-cell RNA-sequencing.,"Melanocyte stem cells (McSCs) of the hair follicle are a rare cell population within the skin and are notably underrepresented in whole-skin, single-cell RNA sequencing (scRNA-seq) datasets. Using a cell enrichment strategy to isolate KIT+/CD45- cells from the telogen skin of adult female C57BL/6J mice, we evaluated the transcriptional landscape of quiescent McSCs (qMcSCs) at high resolution. Through this evaluation, we confirmed existing molecular signatures for qMcCS subpopulations (e.g., Kit+, Cd34+/-, Plp1+, Cd274+/-, Thy1+, Cdh3+/-) and identified novel qMcSC subpopulations, including two that differentially regulate their immune privilege status. Within qMcSC subpopulations, we also predicted melanocyte differentiation potential, neural crest potential, and quiescence depth. Taken together, the results demonstrate that the qMcSC population is heterogenous and future studies focused on investigating changes in qMcSCs should consider changes in subpopulation composition.","Follicular melanocyte stem cells reside in the cellular state of quiescence for the majority of their lifespan and are essential for the regeneration of hair pigmentation during hair cycling. Functional, anatomical and molecular evidence indicates that quiescent melanocyte stem cells are heterogenous and this heterogeneity is a characteristic that defines the stem and lineage potential of these cells. To further interrogate the transcriptional programs that drive this heterogeneity we isolated quiescent melanocyte stem cells from the dermis of female, 8-week-old, C57BL/6J mice (n=3) using KIT+/CD45- enrichment using flow cytometry. Isolated quiescent melanocyte stem cells were processed for single cell RNA-seq (10X genomics) to generate a high resolution map of these cells (5545 total cells analyzed after quality control and filtering). We also performed single cell RNA-seq on dissociated dermis without enrichment as a comparison.",
SAID008,GSE234269,GSM7461430,Mouse,4911,Wounded,P56,Both,dorsal skin,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|Basophil|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Erythrocyte|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Hair Follicle Progenitor|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Skap1+ Itk+ T Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Erythrocyte|Fibroblast|Hair Follicle Progenitor|Immune|Keratinocyte|Lymphatic Endothelial Cell|Schwann cells|Sebaceous Gland Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Novel integrated multiomics analysis reveals Itgbl1-mediated regulation of fibrogenesis through antagonism of Tgfβ1 and IL1β signaling. (single cell RNA-Seq),"To understand the molecular mechanism of minority cell population in skin would healing process, we performed single cell RNA sequencing (scRNA-seq) of murine skin wound tissues at 3 different time points after injury (3d, 7d, 14d).","scRNA-seq analysis data were obtained by using murine skin wound tissues which includes on day 3, 7, and 14 post incisional injury.",39558136
SAID009,GSE234269,GSM7461431,Mouse,23248,Wounded,P56,Both,dorsal skin,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Basophil|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Erythrocyte|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Gamma-delta T Cell|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt17+ Krt6a+ Migratory Keratinocyte|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Skap1+ Itk+ T Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Erythrocyte|Fibroblast|Immune|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Schwann cells|Sebaceous Gland Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,Novel integrated multiomics analysis reveals Itgbl1-mediated regulation of fibrogenesis through antagonism of Tgfβ1 and IL1β signaling. (single cell RNA-Seq),"To understand the molecular mechanism of minority cell population in skin would healing process, we performed single cell RNA sequencing (scRNA-seq) of murine skin wound tissues at 3 different time points after injury (3d, 7d, 14d).","scRNA-seq analysis data were obtained by using murine skin wound tissues which includes on day 3, 7, and 14 post incisional injury.",39558136
SAID010,GSE230512,GSM7225686,Mouse,8783,Healthy,P56,Both,dorsal skin,Adgre1+ Itgam+ Dermal Inf Macrophage|Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast|B Cell|Basophil|Bulge Hair-Follicle Stem Cell|Ccl27a+ Pre-granular Suprabasal Keratinocyte|Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast|Ctss+ Lyz2+ Macrophage|Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast|Dcn+ Lum+ Dermal Fibroblast|Dcn+ Pi16+ Fibroblast|Erythrocyte|Fbn2+ Mfap2+ Papillary Dermal Fibroblast|Gamma-delta T Cell|Hair Follicle Progenitor|Krt1+ Krt10+ Spinous Suprabasal Keratinocyte|Krt17+ Krt6a+ Migratory Keratinocyte|Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell|Krt5+ Krt14+ Basal Keratinocyte|Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte|Langerhans Cell|Lymphatic Endothelial Cell|Mast Cell|Melanocyte|Proliferating Cell|Prrx1+ Ebf1+ Fibroblast Progenitor|S100a9+ S100a8+ Neutrophil|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skap1+ Itk+ T Cell|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte|Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte|Vascular Endothelial Cell|Vascular Smooth Muscle Cell|cDC1 Dendritic Cell|cDC2 Dendritic Cell,Bulge Hair-Follicle Stem Cell|Erythrocyte|Fibroblast|Hair Follicle Progenitor|Immune|Inner Root Sheath Cell|Keratinocyte|Lymphatic Endothelial Cell|Melanocyte|Proliferating Cell|Schwann cells|Sebaceous Gland Cell|Sensory Neuron|Skeletal Muscle Cell|Skeletal Muscle Progenitor|Vascular Endothelial Cell|Vascular Smooth Muscle Cell,IL-17 activates dermal reticular fibroblasts to promote neutrophil recruitment and host defense [scRNAseq],"The complex system by which the skin regulates immune responses to the external environment is unclear. Here, we investigated cell-cell interactions underlying cutaneous defense against S. aureus. Single-cell transcriptomics (scRNA-Seq) and unbiased network analysis revealed unexpected, dominant IL-17-mediated dermal reticular fibroblast-to-neutrophil communication. Multi-faceted in vitro omics studies demonstrated that IL-17 synergized with several factors including TNF⍺ to induce fibroblast NFKBIZ and chemokine secretion. Cultured fibroblasts drove robust neutrophil recruitment through NFKBIZ-dependent CXCR2 and CXCR4 ligands. Mice lacking IL-17R in fibroblasts (PdgfraΔIl17ra) were generated to determine the significance of fibroblast-neutrophil communication. PdgfraΔIl17ra mice exhibited drastically reduced skin neutrophilia in multiple disease models and reduced defense against S. aureus. These findings were translated to humans by comprehensive analysis of biopsies from psoriasis patients on and off anti-IL-17 treatment. Thus, dermal fibroblasts are critical for skin type 17 inflammation and represent a novel target for treatment of infection and inflammatory disease.","scRNA-seq of fibroblasts stimulated in vitro and infected, inflamed, and control mouse skin",
